hours_studied,hours_slept,attendance_percent,previous_score,passed_exam
2.5,8.8,55.9,55.0,0
4.8,8.5,57.1,48.1,1
2.2,5.4,88.1,88.4,0
11.2,4.9,80.9,97.1,1
10.7,7.7,55.1,70.5,0
3.8,9.1,54.2,50.0,0
8.3,7.1,85.0,55.8,0
10.0,7.1,53.6,41.1,0
7.1,5.5,91.1,93.0,1
6.8,8.2,85.3,46.8,0
3.7,5.0,54.1,73.4,0
2.0,5.8,54.2,55.9,0
10.9,6.3,99.3,72.1,1
10.9,6.8,68.7,77.8,1
8.0,5.3,68.5,88.1,0
4.7,4.6,90.6,52.0,0
4.8,7.4,97.4,40.6,1
9.0,5.6,99.3,47.9,0
10.9,7.2,87.7,92.2,0
10.8,4.8,68.8,90.7,1
9.6,6.6,54.2,74.6,1
8.1,6.9,88.9,74.8,1
1.9,4.3,77.9,78.6,0
2.8,5.9,71.2,50.2,0
10.9,4.7,95.3,93.0,1
7.7,4.3,55.6,64.3,0
1.1,9.4,74.6,62.2,0
2.1,5.8,50.6,70.1,0
8.3,8.5,73.4,42.7,0
1.1,5.4,52.8,49.6,0
2.8,7.7,55.9,82.8,1
7.0,8.2,55.9,44.8,0
8.6,7.3,82.5,75.0,1
8.2,6.6,87.3,54.2,1
3.5,6.3,79.2,62.6,0
8.8,5.9,98.1,56.7,1
3.6,9.1,68.7,60.6,0
4.6,8.6,64.3,81.7,0
9.2,9.3,93.4,57.2,1
8.1,4.7,61.2,72.9,1
10.3,8.0,98.2,67.6,1
8.2,9.2,50.6,78.5,0
7.3,5.0,98.5,94.3,1
2.0,4.4,52.2,82.5,0
5.0,8.1,94.6,52.5,1
3.9,7.2,76.4,41.8,0
3.7,8.6,99.6,55.2,1
11.7,4.8,53.7,74.5,1
5.3,8.4,77.7,43.0,0
10.8,5.1,98.5,68.8,0
7.9,4.9,76.2,74.6,1
9.7,4.9,81.5,59.4,0
6.5,8.5,84.8,84.7,1
7.3,7.7,72.7,46.2,0
6.4,6.9,81.4,44.4,0
3.1,6.0,79.2,82.2,0
8.9,8.8,95.1,68.7,1
4.1,6.2,52.3,79.9,1
1.3,8.5,64.0,65.2,0
8.1,6.4,97.5,54.3,0
2.9,6.1,94.5,87.5,1
11.3,6.5,72.8,86.4,1
11.5,5.7,81.0,80.3,1
11.1,8.1,63.9,55.8,0
5.1,6.8,59.4,74.2,1
1.2,5.3,73.2,60.9,0
11.2,8.9,67.7,45.3,1
5.7,6.1,79.2,93.2,1
11.6,7.0,53.9,47.9,0
11.6,9.0,98.7,95.1,1
10.4,7.4,99.3,65.9,1
